user_id,item_id,interaction_type,created_at
518323,890,3,1483473392
472504,1190,3,1485419881
1790848,1830,3,1483950415
803720,1880,3,1483377509
803720,1880,3,1485860254
2348915,1930,3,1483604831
2348915,1930,3,1483605709
2087348,2210,3,1484644824
2087348,2210,3,1485808417
1546300,2250,3,1485852205
186830,3150,3,1484649693
2079292,3840,3,1479481080
1169391,3910,3,1486119160
1583048,3990,3,1485951146
1058097,4020,3,1483387485
869721,4130,3,1479203067
1589786,5400,3,1479219867
1121275,6610,3,1486307404
1940658,7900,3,1485849408
796948,8310,3,1484945861
796948,8310,3,1485108834
1543926,8630,3,1484253596
1700194,9740,3,1484123609
1700194,9740,3,1484124381
1700194,9740,3,1484129434
2207189,9740,3,1486379658
676843,9820,3,1486076744
10184,9820,3,1486106861
1368888,9950,3,1484777256
283455,10130,3,1485043894
2273852,10220,3,1485718365
2254772,10330,3,1486021429
569681,10770,3,1483645453
1920482,11340,3,1483541413
2214787,11920,3,1483369547
469478,11950,3,1483878891
2191733,12660,3,1484048248
616019,13110,3,1478513533
1041701,13140,3,1485208064
1041701,13140,3,1485208072
1041701,13140,3,1485881945
1954349,13170,3,1486366304
1954349,13170,3,1486378344
367808,13370,3,1485428593
1804547,13860,3,1485310758
1345545,13860,3,1484513636
85440,14000,3,1485347478
693091,14590,3,1479313778
808120,14660,3,1478532908
662189,14700,3,1485334356
250880,14720,3,1484816166
250880,14720,3,1485788393
434140,14720,3,1485506864
1976490,14720,3,1483611624
434140,14720,3,1485506834
434140,14720,3,1485506824
690789,14720,3,1485926758
690789,14720,3,1485926748
1849316,14720,3,1484677048
1849316,14720,3,1484679809
2069537,14720,3,1483827019
681217,14720,3,1484516043
1651761,14720,3,1485469732
1195502,14720,3,1484253155
1169503,14720,3,1485202186
1903354,14720,3,1484239856
1878471,14790,3,1486126523
1967589,14980,3,1484826165
320416,15910,3,1483362463
282504,16450,3,1484838749
1827561,16470,3,1485512943
256682,16760,3,1484397710
256682,16760,3,1484397709
256682,16760,3,1484397579
1847877,16770,3,1483603123
1522220,17150,3,1483352436
1560776,17950,3,1486123546
903539,20650,3,1484216156
1278895,20780,3,1486135965
1278895,20780,3,1486135959
469048,20780,3,1485536815
469048,20780,3,1485535982
469048,20780,3,1485536828
639956,20990,3,1483370821
73941,21560,3,1485121146
1550565,21720,3,1483434972
1790848,22810,3,1478504850
765765,23070,3,1479391872
33948,23070,3,1478792828
1703579,23870,3,1484914049
959082,24050,3,1485443929
1097028,24440,3,1483530401
364879,25710,3,1485122570
2018342,26770,3,1479322116
1997048,27150,3,1485435415
965411,27380,3,1485330759
1256301,27380,3,1485783237
2280827,27380,3,1485333268
51586,28240,3,1479496633
540960,28600,3,1484586119
540960,28600,3,1484761334
1202863,28600,3,1484576112
105427,28670,3,1484039117
1513685,28790,3,1478936792
1969727,28790,3,1478804875
685733,29250,3,1483336514
982241,30670,3,1484728237
982241,30670,3,1484728245
1632579,31180,3,1484691601
1632579,31180,3,1483789586
535805,31760,3,1483427578
1728842,32070,3,1484209142
1887591,32350,3,1485250724
864104,32840,3,1478810533
864104,32840,3,1478811020
864104,32840,3,1478812965
864104,32840,3,1478962577
864104,32840,3,1478966957
465955,33370,3,1479334078
634235,33430,3,1486386138
2182067,33710,3,1486397960
1423459,34240,3,1486127031
510935,34530,3,1485773092
463118,34690,3,1479399699
532002,36290,3,1485774142
1126012,36540,3,1485858562
1662315,37500,3,1485084823
840066,38160,3,1486044109
1165517,38540,3,1485976592
2302254,38640,3,1484296929
1737429,39010,3,1484041431
143511,39560,3,1483465050
1898660,39720,3,1479369406
791144,39800,3,1485847692
791144,39800,3,1485437072
1488229,40270,3,1485939658
1433204,41580,3,1484820981
288591,42370,3,1479211206
903028,42400,3,1484084647
1793205,42580,3,1479652283
271102,42590,3,1479663915
905188,43140,3,1484565253
149027,43380,3,1483519865
1628449,43380,3,1485869413
477544,43380,3,1485866022
606510,43380,3,1485170446
1894548,43510,3,1485869273
23610,43710,3,1483693625
23610,43710,3,1483692909
419104,44360,3,1485866518
1478069,44390,3,1485374360
548650,44490,3,1483876269
211376,45030,3,1479137756
1603532,46150,3,1485682304
379225,46150,3,1485429905
1917303,46610,3,1484945724
2173258,46610,3,1485285323
1882842,47140,3,1486111743
1416434,47140,3,1486245174
1709655,47370,3,1484503238
1378111,47390,3,1485473466
208208,48510,3,1486017111
397040,48860,3,1485099152
